experiment,phase,model,target_interval_sec,attacker_share,confirmations,acceptance_policy,success_probability,ci_lower,ci_upper,expected_wait_sec,median_wait_sec,expected_work
P1_validate_simulators,I,distribution,600.0,0.1,2,600s × 2,0.055665,0.05466869009426574,0.056678378523943224,1200.0,1007.0081940099967,2.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,3,600s × 3,0.003015,0.0027840764251913517,0.0032650146822401603,1800.0,1604.436188234137,3.0
P1_validate_simulators,I,distribution,600.0,0.1,3,600s × 3,0.00305,0.0028176904745019354,0.0033013992884448136,1800.0,1604.436188234137,3.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,3,600s × 3,0.01699,0.016432825505012863,0.017565728768859583,1800.0,1604.436188234137,3.0
P1_validate_simulators,I,distribution,600.0,0.1,3,600s × 3,0.017915,0.017342870179550603,0.018505648561510237,1800.0,1604.436188234137,3.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,5,600s × 5,0.00031,0.00024185168417510623,0.00039734333272168547,3000.0,2802.5453296775913,5.0
P1_validate_simulators,I,distribution,600.0,0.1,5,600s × 5,0.00026,0.00019829185784892594,0.0003409050797403848,3000.0,2802.5453296775913,5.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,5,600s × 5,0.00199,0.0018040218604190856,0.0021951086212090667,3000.0,2802.5453296775913,5.0
P1_validate_simulators,I,distribution,600.0,0.1,5,600s × 5,0.001995,0.0018087773420258357,0.0022003529475330646,3000.0,2802.5453296775913,5.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,10,600s × 10,5e-06,8.826233199317767e-07,2.832410980122599e-05,6000.0,5801.228768828478,10.0
P1_validate_simulators,I,distribution,600.0,0.1,10,600s × 10,0.0,0.0,1.920692519040967e-05,6000.0,5801.228768828478,10.0
P1_validate_simulators,I,event_bernoulli,600.0,0.1,10,600s × 10,0.0,0.0,1.920692519040967e-05,6000.0,5801.228768828478,10.0
P1_validate_simulators,I,distribution,600.0,0.1,10,600s × 10,5e-06,8.826233199317767e-07,2.832410980122599e-05,6000.0,5801.228768828478,10.0
P1_validate_simulators,I,event_bernoulli,600.0,0.2,1,600s × 1,0.129615,0.12815008170615583,0.1310941462078175,600.0,415.8883083359673,1.0
P1_validate_simulators,I,distribution,600.0,0.2,1,600s × 1,0.129975,0.12850833690812122,0.131455877176866,600.0,415.8883083359673,1.0
P1_validate_simulators,I,event_bernoulli,600.0,0.2,1,600s × 1,0.401395,0.39924864182158193,0.4035451459761349,600.0,415.8883083359673,1.0
